ID,FSoZu_EU,FSoZu_PU,FSoZu_SI,FSoZu_Zuf,FSoZu_Vert
sub-010017,4.6,4.2,3.7142857143,3.0,4.5
sub-010015,4.9,5.0,4.1428571429,3.0,5.0
sub-010100,4.8,4.6,3.7142857143,3.5,5.0
sub-010003,3.9,4.2,3.4285714286,2.0,3.5
sub-010022,3.9,3.8,3.2857142857,1.5,3.5
sub-010021,4.5,3.4,3.5714285714,2.5,5.0
sub-010023,4.7,4.8,3.7142857143,2.0,5.0
sub-010104,3.0,3.8,3.4285714286,3.5,4.0
sub-010010,3.5,2.2,2.4285714286,2.5,4.5
sub-010016,5.0,4.8,4.8571428571,4.5,5.0
sub-010019,4.9,4.8,4.5714285714,4.0,5.0
sub-010024,4.7,4.8,4.5714285714,4.5,5.0
sub-010026,4.5,4.6,4.7142857143,4.5,5.0
sub-010027,4.9,4.6,4.2857142857,4.5,5.0
sub-010134,4.5,4.4,3.8571428571,4.0,4.5
sub-010028,4.9,4.6,4.7142857143,4.5,5.0
sub-010029,4.8,5.0,4.0,1.5,5.0
sub-010030,4.9,4.6,4.1428571429,4.5,5.0
sub-010150,4.8,4.8,4.1428571429,4.0,5.0
sub-010032,4.5,5.0,3.8571428571,3.5,3.0
sub-010031,5.0,5.0,5.0,5.0,5.0
sub-010321,4.6,4.6,4.0,3.0,5.0
sub-010033,4.7,4.8,4.7142857143,4.5,5.0
sub-010020,5.0,5.0,5.0,5.0,5.0
sub-010170,4.3,4.6,3.7142857143,2.5,5.0
sub-010183,3.1,4.2,3.0,2.5,2.0
sub-010035,4.0,4.4,4.5714285714,4.0,3.0
sub-010197,4.7,4.8,4.7142857143,4.5,4.5
sub-010202,4.5,4.2,4.0,3.5,5.0
sub-010034,5.0,5.0,4.8571428571,4.5,5.0
sub-010199,3.8,4.8,4.1428571429,2.5,4.0
sub-010040,4.5,3.4,3.2857142857,4.0,5.0
sub-010039,4.2,4.2,4.2857142857,3.5,5.0
sub-010006,5.0,5.0,4.8571428571,5.0,5.0
sub-010012,4.0,4.0,4.2857142857,4.5,4.0
sub-010219,3.8,4.8,5.0,5.0,4.0
sub-010041,4.7,5.0,4.2857142857,3.0,5.0
sub-010222,2.4,4.4,2.8571428571,4.5,1.5
sub-010002,4.9,4.8,4.2857142857,4.0,5.0
sub-010004,5.0,5.0,5.0,5.0,5.0
sub-010044,4.3,4.8,4.1428571429,4.0,4.0
sub-010037,3.6,4.4,4.1428571429,3.5,2.0
sub-010223,4.4,4.4,4.1428571429,4.0,4.0
sub-010043,4.8,4.6,4.2857142857,5.0,5.0
sub-010045,5.0,5.0,4.4285714286,3.5,5.0
sub-010047,4.8,4.8,4.5714285714,3.5,5.0
sub-010007,3.7,4.0,4.0,3.0,3.0
sub-010046,4.7,5.0,4.4285714286,3.5,4.5
sub-010048,4.9,5.0,4.4285714286,3.0,5.0
sub-010049,5.0,4.2,3.7142857143,3.5,5.0
sub-010234,5.0,5.0,4.0,1.5,5.0
sub-010059,4.1,4.2,4.7142857143,4.5,4.0
sub-010236,4.8,5.0,4.8571428571,4.5,5.0
sub-010056,4.7,4.2,3.4285714286,3.5,5.0
sub-010062,4.6,4.2,4.2857142857,4.0,4.5
sub-010063,3.5,2.6,2.1428571429,2.0,5.0
sub-010060,4.4,4.6,3.5714285714,2.0,4.5
sub-010051,4.9,5.0,4.8571428571,4.5,4.5
sub-010050,5.0,5.0,5.0,5.0,5.0
sub-010042,5.0,4.6,4.2857142857,4.0,5.0
sub-010068,4.6,4.6,4.4285714286,3.5,4.5
sub-010070,5.0,5.0,4.7142857143,4.0,5.0
sub-010238,4.1,3.4,3.7142857143,2.5,5.0
sub-010207,4.9,5.0,4.4285714286,4.0,5.0
sub-010069,3.9,4.6,3.5714285714,2.5,4.5
sub-010073,4.9,5.0,5.0,5.0,5.0
sub-010075,5.0,5.0,4.5714285714,4.0,5.0
sub-010076,4.9,5.0,4.0,2.5,5.0
sub-010065,5.0,5.0,4.7142857143,4.0,5.0
sub-010077,5.0,5.0,4.8571428571,4.5,5.0
sub-010061,4.5,4.4,4.5714285714,5.0,5.0
sub-010074,5.0,4.6,5.0,5.0,5.0
sub-010078,4.9,4.4,4.5714285714,4.0,5.0
sub-010052,4.8,4.6,4.8571428571,5.0,5.0
sub-010071,4.0,4.8,3.5714285714,3.0,4.0
sub-010080,5.0,5.0,4.8571428571,4.5,5.0
sub-010067,3.7,3.2,3.1428571429,2.5,4.0
sub-010064,5.0,5.0,4.2857142857,3.0,5.0
sub-010072,4.5,4.2,4.2857142857,4.5,5.0
sub-010081,4.8,5.0,4.8571428571,4.5,5.0
sub-010079,5.0,5.0,4.2857142857,3.0,5.0
sub-010240,4.4,4.8,4.4285714286,4.5,5.0
sub-010083,4.1,4.8,4.5714285714,4.0,4.0
sub-010084,4.9,5.0,4.7142857143,4.0,5.0
sub-010053,4.6,4.8,4.1428571429,2.5,5.0
sub-010085,4.6,4.4,4.5714285714,5.0,5.0
sub-010066,4.8,4.4,4.2857142857,3.5,5.0
sub-010086,4.8,4.6,3.8571428571,2.5,5.0
sub-010089,3.8,4.4,3.2857142857,3.5,4.0
sub-010087,5.0,5.0,4.5714285714,4.5,5.0
sub-010242,4.7,4.6,4.0,3.5,5.0
sub-010038,4.3,4.8,4.2857142857,3.5,3.0
sub-010246,5.0,5.0,3.5714285714,4.5,5.0
sub-010243,5.0,5.0,4.7142857143,4.0,5.0
sub-010090,5.0,5.0,4.0,2.0,5.0
sub-010247,5.0,5.0,4.5714285714,4.5,5.0
sub-010248,5.0,5.0,4.7142857143,4.0,5.0
sub-010244,3.9,4.0,3.8571428571,2.0,2.5
sub-010250,4.5,5.0,4.8571428571,4.5,5.0
sub-010088,4.3,4.2,4.2857142857,4.5,5.0
sub-010251,3.8,4.4,3.4285714286,3.5,3.5
sub-010091,4.8,4.8,4.5714285714,4.5,5.0
sub-010245,4.1,4.4,3.5714285714,3.5,4.5
sub-010249,4.7,4.4,4.4285714286,4.0,4.5
sub-010092,4.8,5.0,4.4285714286,3.5,5.0
sub-010241,5.0,5.0,3.8571428571,2.5,5.0
sub-010094,4.5,4.6,3.2857142857,2.5,5.0
sub-010252,5.0,4.8,4.7142857143,4.5,5.0
sub-010126,5.0,5.0,4.8571428571,4.5,5.0
sub-010254,5.0,5.0,4.1428571429,4.5,5.0
sub-010093,4.8,5.0,4.4285714286,3.5,4.0
sub-010256,5.0,4.8,4.7142857143,4.5,5.0
sub-010137,5.0,5.0,5.0,5.0,5.0
sub-010136,3.8,3.0,3.5714285714,2.0,4.0
sub-010142,4.7,5.0,4.0,3.5,5.0
sub-010262,5.0,5.0,5.0,5.0,5.0
sub-010264,3.4,2.8,2.5714285714,3.5,4.0
sub-010036,5.0,5.0,4.7142857143,4.0,5.0
sub-010239,4.9,4.4,4.2857142857,4.0,5.0
sub-010138,4.9,5.0,4.2857142857,4.0,5.0
sub-010148,4.2,4.6,3.8571428571,2.0,5.0
sub-010152,1.4,1.4,2.7142857143,3.0,1.5
sub-010146,4.7,5.0,4.5714285714,4.0,5.0
sub-010141,4.5,4.8,4.0,2.5,4.0
sub-010257,4.9,5.0,4.7142857143,4.5,5.0
sub-010265,4.7,4.4,3.4285714286,2.0,5.0
sub-010258,5.0,5.0,4.2857142857,3.0,5.0
sub-010260,4.9,5.0,4.7142857143,4.0,5.0
sub-010263,5.0,4.8,4.4285714286,3.5,5.0
sub-010271,4.6,4.0,4.0,3.0,5.0
sub-010269,4.7,4.4,4.5714285714,3.5,5.0
sub-010267,4.0,4.2,4.0,3.0,4.0
sub-010273,3.4,2.8,3.2857142857,2.0,3.5
sub-010163,5.0,4.6,4.7142857143,4.0,5.0
sub-010165,5.0,4.4,4.7142857143,4.0,5.0
sub-010162,4.8,4.8,3.8571428571,3.0,4.5
sub-010270,5.0,5.0,4.5714285714,4.0,5.0
sub-010268,3.8,3.0,3.8571428571,2.0,4.0
sub-010155,4.2,4.4,3.5714285714,2.5,4.0
sub-010164,4.0,4.0,3.2857142857,2.5,4.0
sub-010272,4.8,4.8,5.0,5.0,5.0
sub-010261,4.8,5.0,4.5714285714,4.5,5.0
sub-010266,4.3,4.6,4.0,2.0,5.0
sub-010274,3.3,2.4,2.8571428571,2.0,3.0
sub-010166,5.0,4.6,4.0,2.5,5.0
sub-010255,5.0,4.8,4.4285714286,3.0,5.0
sub-010275,4.3,3.4,3.0,2.0,5.0
sub-010168,5.0,5.0,4.5714285714,4.0,5.0
sub-010157,5.0,4.0,4.7142857143,5.0,5.0
sub-010176,5.0,5.0,4.8571428571,5.0,5.0
sub-010276,4.5,4.4,4.2857142857,3.5,5.0
sub-010279,5.0,5.0,4.5714285714,4.0,5.0
sub-010280,5.0,5.0,4.4285714286,3.5,5.0
sub-010278,4.4,4.2,3.2857142857,2.0,4.5
sub-010277,4.9,4.6,4.1428571429,5.0,5.0
sub-010282,5.0,3.8,4.1428571429,4.0,5.0
sub-010283,4.9,5.0,4.8571428571,4.5,5.0
sub-010284,3.7,3.4,3.2857142857,3.0,4.5
sub-010285,4.9,4.8,4.5714285714,4.0,5.0
sub-010287,5.0,5.0,5.0,5.0,5.0
sub-010288,3.7,4.0,3.5714285714,3.0,5.0
sub-010290,4.6,4.8,4.2857142857,4.5,5.0
sub-010291,4.7,4.8,4.7142857143,4.5,5.0
sub-010289,4.4,4.6,4.2857142857,4.0,5.0
sub-010286,4.7,4.8,4.0,3.0,5.0
sub-010191,4.6,4.6,4.4285714286,4.0,4.5
sub-010192,4.8,4.0,4.5714285714,4.5,4.5
sub-010292,3.8,4.4,3.8571428571,4.0,4.5
