ID,FTP_SUM
sub-010017,
sub-010015,
sub-010100,
sub-010003,
sub-010022,
sub-010021,
sub-010023,
sub-010104,
sub-010010,
sub-010016,
sub-010019,52.0
sub-010024,
sub-010169,
sub-010026,
sub-010027,
sub-010134,
sub-010028,
sub-010029,60.0
sub-010030,57.0
sub-010150,35.0
sub-010032,
sub-010031,54.0
sub-010321,55.0
sub-010033,61.0
sub-010020,49.0
sub-010170,50.0
sub-010110,
sub-010183,64.0
sub-010035,58.0
sub-010197,52.0
sub-010202,53.0
sub-010034,49.0
sub-010199,26.0
sub-010040,40.0
sub-010039,34.0
sub-010006,41.0
sub-010012,39.0
sub-010219,17.0
sub-010041,35.0
sub-010222,31.0
sub-010002,35.0
sub-010004,34.0
sub-010044,20.0
sub-010037,43.0
sub-010223,36.0
sub-010043,38.0
sub-010045,47.0
sub-010047,26.0
sub-010007,34.0
sub-010046,33.0
sub-010048,58.0
sub-010049,31.0
sub-010234,35.0
sub-010059,42.0
sub-010236,62.0
sub-010056,49.0
sub-010062,51.0
sub-010063,41.0
sub-010060,42.0
sub-010051,46.0
sub-010050,49.0
sub-010042,44.0
sub-010068,58.0
sub-010070,53.0
sub-010238,51.0
sub-010207,57.0
sub-010069,44.0
sub-010073,
sub-010075,57.0
sub-010076,45.0
sub-010065,
sub-010077,66.0
sub-010061,44.0
sub-010074,46.0
sub-010078,53.0
sub-010052,52.0
sub-010071,68.0
sub-010080,56.0
sub-010067,42.0
sub-010064,51.0
sub-010072,58.0
sub-010081,49.0
sub-010079,67.0
sub-010240,
sub-010083,62.0
sub-010084,53.0
sub-010053,54.0
sub-010237,
sub-010085,39.0
sub-010066,39.0
sub-010086,28.0
sub-010235,
sub-010089,49.0
sub-010087,24.0
sub-010242,35.0
sub-010038,56.0
sub-010246,43.0
sub-010243,20.0
sub-010090,45.0
sub-010247,26.0
sub-010248,49.0
sub-010244,47.0
sub-010250,36.0
sub-010088,42.0
sub-010251,43.0
sub-010091,37.0
sub-010245,34.0
sub-010249,33.0
sub-010092,34.0
sub-010241,
sub-010094,36.0
sub-010252,55.0
sub-010126,24.0
sub-010254,40.0
sub-010093,27.0
sub-010256,63.0
sub-010137,58.0
sub-010136,51.0
sub-010142,30.0
sub-010262,60.0
sub-010264,49.0
sub-010036,55.0
sub-010239,33.0
sub-010138,58.0
sub-010148,32.0
sub-010152,20.0
sub-010146,40.0
sub-010141,38.0
sub-010257,44.0
sub-010265,40.0
sub-010258,52.0
sub-010260,56.0
sub-010263,66.0
sub-010271,59.0
sub-010269,40.0
sub-010267,50.0
sub-010273,50.0
sub-010163,56.0
sub-010165,52.0
sub-010162,41.0
sub-010270,59.0
sub-010268,31.0
sub-010155,44.0
sub-010164,47.0
sub-010272,57.0
sub-010261,52.0
sub-010266,45.0
sub-010274,
sub-010166,53.0
sub-010255,39.0
sub-010275,40.0
sub-010168,49.0
sub-010157,36.0
sub-010176,59.0
sub-010276,45.0
sub-010279,38.0
sub-010280,47.0
sub-010281,
sub-010278,57.0
sub-010277,33.0
sub-010282,
sub-010283,38.0
sub-010284,27.0
sub-010285,37.0
sub-010287,39.0
sub-010288,19.0
sub-010290,44.0
sub-010291,
sub-010289,42.0
sub-010286,49.0
sub-010191,
sub-010293,
sub-010192,
sub-010292,
sub-010193,
sub-010296,
sub-010194,
sub-010195,
sub-010294,
sub-010297,
sub-010196,
sub-010298,
sub-010200,
sub-010299,
sub-010201,
sub-010295,
sub-010300,
sub-010213,
sub-010204,
sub-010214,
sub-010301,
sub-010215,
sub-010210,
sub-010303,
sub-010218,
sub-010203,
sub-010306,
sub-010319,
sub-010216,
sub-010305,
sub-010220,
sub-010320,
sub-010308,
sub-010307,
sub-010302,
sub-010309,
sub-010304,
sub-010224,
sub-010225,
sub-010310,
sub-010312,
sub-010253,
sub-010314,
sub-010226,
sub-010311,
sub-010228,
sub-010315,
sub-010317,
sub-010229,
sub-010227,
sub-010316,
sub-010230,
sub-010005,
sub-010231,
sub-010232,
sub-010233,
sub-010318,
