ID,PSQ_Worries,PSQ_Tension,PSQ_Joy,PSQ_Demands,PSQ_OverallScore
sub-010017,66.6666666667,53.3333333333,40,60,60
sub-010015,46.6666666667,26.6666666667,46.6666666667,6.6666666667,33.3333333333
sub-010100,53.3333333333,46.6666666667,53.3333333333,40,46.6666666667
sub-010003,46.6666666667,46.6666666667,40,40,48.3333333333
sub-010022,60,26.6666666667,60,13.3333333333,35
sub-010021,53.3333333333,53.3333333333,40,60,56.6666666667
sub-010023,46.6666666667,93.3333333333,33.3333333333,86.6666666667,73.3333333333
sub-010104,40,26.6666666667,40,66.6666666667,48.3333333333
sub-010010,53.3333333333,60,46.6666666667,26.6666666667,48.3333333333
sub-010016,26.6666666667,26.6666666667,80,40,28.3333333333
sub-010019,46.6666666667,60,46.6666666667,73.3333333333,58.3333333333
sub-010024,26.6666666667,33.3333333333,53.3333333333,46.6666666667,38.3333333333
sub-010169, , , , , 
sub-010026,6.6666666667,13.3333333333,73.3333333333,13.3333333333,15
sub-010027,66.6666666667,53.3333333333,40,60,60
sub-010134,40,66.6666666667,33.3333333333,53.3333333333,56.6666666667
sub-010028,6.6666666667,20,100,33.3333333333,15
sub-010029,40,40,93.3333333333,13.3333333333,25
sub-010030,13.3333333333,20,86.6666666667,13.3333333333,15
sub-010150,100,80,60,60,70
sub-010032,20,6.6666666667,86.6666666667,60,25
sub-010031,40,40,66.6666666667,46.6666666667,40
sub-010321,13.3333333333,33.3333333333,66.6666666667,40,30
sub-010033,20,20,66.6666666667,26.6666666667,25
sub-010020,13.3333333333,33.3333333333,86.6666666667,86.6666666667,36.6666666667
sub-010170,26.6666666667,6.6666666667,66.6666666667,33.3333333333,25
sub-010110, , , , , 
sub-010183,6.6666666667,13.3333333333,60,13.3333333333,18.3333333333
sub-010035,33.3333333333,26.6666666667,53.3333333333,20,31.6666666667
sub-010197,0,20,93.3333333333,26.6666666667,13.3333333333
sub-010202,26.6666666667,60,33.3333333333,73.3333333333,56.6666666667
sub-010034,13.3333333333,26.6666666667,93.3333333333,33.3333333333,20
sub-010199,6.6666666667,20,73.3333333333,0,13.3333333333
sub-010040,13.3333333333,20,46.6666666667,33.3333333333,30
sub-010039,0,0,73.3333333333,6.6666666667,8.3333333333
sub-010006,6.6666666667,6.6666666667,73.3333333333,6.6666666667,11.6666666667
sub-010012,0,0,73.3333333333,6.6666666667,8.3333333333
sub-010219,0,6.6666666667,80,13.3333333333,10
sub-010041,13.3333333333,33.3333333333,60,20,26.6666666667
sub-010222,80,66.6666666667,26.6666666667,46.6666666667,66.6666666667
sub-010002,13.3333333333,6.6666666667,86.6666666667,13.3333333333,11.6666666667
sub-010004,20,6.6666666667,80,13.3333333333,15
sub-010044,40,53.3333333333,20,33.3333333333,51.6666666667
sub-010037,0,6.6666666667,86.6666666667,6.6666666667,6.6666666667
sub-010223,6.6666666667,20,66.6666666667,13.3333333333,18.3333333333
sub-010043,20,33.3333333333,86.6666666667,33.3333333333,25
sub-010045,13.3333333333,0,60,13.3333333333,16.6666666667
sub-010047,46.6666666667,46.6666666667,40,40,48.3333333333
sub-010007,33.3333333333,26.6666666667,53.3333333333,26.6666666667,33.3333333333
sub-010046,13.3333333333,33.3333333333,60,33.3333333333,30
sub-010048,26.6666666667,20,100,53.3333333333,25
sub-010049,33.3333333333,26.6666666667,60,46.6666666667,36.6666666667
sub-010234,13.3333333333,13.3333333333,73.3333333333,33.3333333333,21.6666666667
sub-010059,0,0,73.3333333333,0,6.6666666667
sub-010236,33.3333333333,33.3333333333,53.3333333333,40,38.3333333333
sub-010056,6.6666666667,13.3333333333,60,33.3333333333,23.3333333333
